Pulse Number,Pulse Width ,Pulse Amplitude (dBm),Range (km),Azimuth Angle (degrees),Elevation Angle (degrees),Doppler Shift (Hz),Signal-to-Noise Ratio (dB),Lower Frequency (GHz),Upper Frequency (GHz),Lower PRI ,Upper PRI 
3.589765,4.957718,-12.465553,68.88825,0.46866876,18.90779,674.8387,21.289358,10.031034,10.125753,15.739529,20.59529
2.3744342,4.5013623,-8.621694,86.06544,-8.515605,28.188486,494.90878,16.86301,10.769003,9.535052,16.639732,23.211487
3.046641,5.7698607,-13.177596,61.350803,11.703776,13.0968685,608.8603,20.06959,10.59588,10.46279,16.790396,24.823584
1.7212567,5.35519,-13.545039,68.619965,-3.0735123,20.66697,629.9712,20.167675,10.51713,9.413221,13.126083,22.908928
5.0231566,5.2740083,-12.753421,64.610085,14.463679,15.959487,648.67957,20.239075,10.58389,10.449983,18.50663,22.775349
3.0409236,4.955514,-12.164731,75.989006,-14.81813,23.690582,641.83453,21.83623,9.700227,9.699878,12.918639,19.945509
4.8307033,5.2379255,-11.724214,65.50978,0.46803933,19.430775,667.4583,19.322926,10.839786,10.218685,17.533182,22.373741
2.985993,5.2168107,-11.372708,75.94083,-13.960685,23.358978,594.3211,18.595764,10.953555,9.62654,14.925033,22.905113
4.3334217,4.8813205,-12.898165,76.26327,21.172434,19.748545,569.5825,20.233477,10.124655,9.94794,19.394682,22.699436
4.3646727,4.992842,-12.28176,69.3452,9.719386,19.676802,646.50616,20.760365,10.2715435,10.3874035,18.039446,21.989002
4.2702518,5.172847,-12.342749,62.712322,21.44558,15.556632,663.6427,20.824333,10.331255,10.707228,19.107145,22.599314
4.248933,5.1876698,-11.914933,66.00876,16.421051,16.180632,657.17084,20.52407,10.327142,10.530061,18.375973,22.05067
1.9151945,5.5836945,-12.844453,66.94802,-1.58023,13.904546,688.252,20.902351,9.859069,10.077878,14.377292,22.028662
2.456075,5.404075,-14.154653,75.85562,-1.0718873,17.199787,608.40155,20.161367,10.344017,9.813105,16.009432,25.809996
-0.18386745,5.674288,-11.784973,56.55693,8.71008,10.161192,650.6203,19.83584,10.868551,10.862629,16.41991,25.22113
4.2419844,5.1346517,-13.478331,69.66968,19.267391,17.244835,630.16516,19.810497,10.574708,10.484873,19.644695,24.633677
4.8580837,5.229532,-13.103549,70.24739,6.748698,18.087267,667.3794,19.924921,10.673356,10.092638,18.628626,22.539665
3.8151958,5.245675,-12.072926,58.48593,0.85142976,14.840695,724.2213,20.221748,10.55471,10.220724,15.691274,20.993156
3.6183796,5.415312,-13.219429,68.794044,6.971797,15.884457,674.16156,19.788357,10.489241,10.266999,18.297966,24.354053
2.2262146,5.7866344,-12.36642,56.68846,6.0529356,12.035928,666.98737,21.333143,10.08398,10.428087,14.498678,21.582869
3.0188549,5.2554045,-11.523579,66.023476,9.040826,20.103868,620.15533,18.416193,10.916471,10.351434,17.555325,23.58157
4.3704457,5.153908,-13.021697,67.90085,17.883501,17.7576,644.32,19.731194,10.654055,10.51516,20.056664,24.443705
-1.6627212,6.353207,-14.496875,67.07678,-27.093693,14.9363985,648.1454,20.894716,10.965329,9.329774,12.161358,26.497026
2.344471,5.1537595,-10.355597,77.301636,-14.35815,23.065905,586.4072,19.172155,10.577469,9.791145,14.592873,21.178415
3.2612255,5.5022936,-12.376145,58.002506,14.051366,15.718569,664.5148,20.14878,10.809537,10.561307,18.348028,23.934925
4.544627,5.0607667,-11.526752,65.52051,-15.4252615,20.665922,698.9164,18.054235,11.110108,9.695924,15.184814,21.826626
1.2629561,5.4904046,-12.155754,84.325264,-32.11893,22.247704,615.13574,19.978384,10.01347,9.163593,11.999623,22.621042
